training-size A-O-model A-O-deriv
500 0.870629370629 0.907196710075
1000 0.848592944907 0.916150815982
1500 0.873921251348 0.902233115468
2000 0.852650966978 0.909303605835
2500 0.86394917946 0.897411701267
