training-size A-O-model A-O-deriv
500 0.917647058824 0.954925584692
1000 0.910418143161 0.954925584692
1500 0.918639262934 0.954925584692
2000 0.918639262934 0.954925584692
2500 0.925301204819 0.954925584692
