other-ratio 500 1000 1500
0.2 0.815806577408 0.813284417841 0.859696392193
0.333333333333 0.845435130806 0.863155018105 0.869963616763
0.428571428571 0.855781664738 0.85773480663 0.889608153708
0.5 0.877770034843 0.856033326273 0.882283491909
0.555555555556 0.87373844308 0.881485681883 0.866943720504
0.6 0.86590747331 0.885718362106 0.873716268858
0.636363636364 0.882272366808 0.869129708935 0.837841706025
0.666666666667 0.84898136736 0.858455480201 0.832477024387
0.692307692308 0.821387115496 0.834001019739 0.82902685785
