training-size A-O-model A-O-deriv
500 0.961914399961 0.972503332181
1000 0.956113935923 0.971886261539
1500 0.962753616034 0.971688798934
2000 0.958187293281 0.972676111961
2500 0.961618206052 0.971392605025
