training-size A-O-model A-O-deriv
500 0.893520115934 0.922369337979
1000 0.878419037199 0.919579185201
1500 0.895722479442 0.920341690395
2000 0.884415938865 0.922700928706
2500 0.893573335158 0.919919850757
